"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,"Reference Count","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Commutation torque ripple reduction in high-speed brushless DC motor","T. Drabek; P. Dybowski; J. Kozik; T. Lerch; W. Milej; M. Rad; E. Milczarek; M. Staszowski","AGH University of Science and Technology, Kraków, Poland; AGH University of Science and Technology, Kraków, Poland; AGH University of Science and Technology, Kraków, Poland; AGH University of Science and Technology, Kraków, Poland; AGH University of Science and Technology, Kraków, Poland; AGH University of Science and Technology, Kraków, Poland; AGH University of Science and Technology, Kraków, Poland; AGH University of Science and Technology, Kraków, Poland","2017 International Symposium on Electrical Machines (SME)","","2017","","","1","6","The simple method of commutation torque ripple reduction in the high-speed (10000 rpm) brushless DC motor is presented in this paper. In this method hysteresis controllers of motor currents are used. The goal of work was to develop a control algorithm that could be implemented in the popular and cheap STM32 family of microcontrollers (ST Microelectronics). High-speed brushless DC motors are used in professional power tools, as an alternative to universal motors. This is the intended use for this motor.","","978-1-5386-0359-8","10.1109/ISEM.2017.7993564","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7993564","DC brushless;commutation;hysteresis controller;torque ripple","Commutation;Hysteresis motors;Brushless motors;Torque;Switches;Transistors","brushless DC motors;commutation;electric current control;hysteresis;microcontrollers;torque","commutation torque ripple reduction;high-speed brushless DC motor;hysteresis controller;motor current;STM32 microcontrollers;professional power tools","","","11","","","","","IEEE","IEEE Conferences"
"Picoseconds-accurate fiber-optic time transfer with relative stabilization of lasers wavelengths","L. Sliwczynski; P. Krehlik; L. Buczek; H. Schnatz","Electronics, AGH, 49811 Krakow, Wojewdztwo maopolskie Poland (e-mail: sliwczyn@agh.edu.pl); Electronics, AGH, 49811 Krakow, Wojewdztwo maopolskie Poland (e-mail: krehlik@agh.edu.pl); Electronics, AGH, 49811 Krakow, Wojewdztwo maopolskie Poland (e-mail: lbuczek@agh.edu.pl); 4.3 Quantum Optocs and Unit of Length, Physikalisch-Technische Bundesanstalt, 39428 Braunschweig, Niedersachsen Germany (e-mail: harald.schnatz@ptb.de)","Journal of Lightwave Technology","","2020","PP","99","1","1","In this paper we focus on analyzing the accuracy of time transfer in bidirectional fiber optic links. It has been pointed out that one of the main uncertainty contributions in such links is related to insufficient stabilization of the lasers' wavelengths and to the asymmetry of propagation caused by the fiber's chromatic dispersion. To reduce these contributions, we propose a scheme where the difference (offset) of the wavelengths of forward and backward lasers is stabilized and where optical interleavers are used as diplexers. This allows implementing a λ-swapping tech-nique to assess dispersion-related link asymmetry during the link calibration. For the investigation of these approaches and the measurement of the associated stability we utilize a frequency-synchronized offset laser module (FSOLM) to realize an offset of 25 GHz. In this paper, we show that with the proposed λ-swapping technique the uncertainty associated with the propaga-tion asymmetry due to fiber chromatic dispersion can be reduced to values below 2.5 ps for links up to 1000 km long, making it insignificant compared to other uncertainty contributions. A laboratory proof-of-concept experiment, in which distances up to 540 km were tested, showed good agreement between the meas-ured and the anticipated propagation delay of investigated links.","1558-2213","","10.1109/JLT.2020.2999158","Narodowe Centrum Nauki; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9105070","fiber optic;time transfer;calibration uncertainty;laser wavelength stabilization;interleaver filter","","","","","","","CCBY","","","","IEEE","IEEE Early Access Articles"
"SDNRoute: Integrated system supporting routing in Software Defined Networks","P. Boryło; P. Chołda; J. Domżał; P. Jaglarz; P. Jurkiewicz; A. Lasoń; M. Niemiec; M. Rzepka; G. Rzym; R. Wójcik","AGH University of Science and Technology, Department of Telecommunications, Faculty of Computer Science, Electronics and Telecommuniactionsm, al. A. Mickiewicza 30, 30-059 Krakow, Poland; AGH University of Science and Technology, Department of Telecommunications, Faculty of Computer Science, Electronics and Telecommuniactionsm, al. A. Mickiewicza 30, 30-059 Krakow, Poland; AGH University of Science and Technology, Department of Telecommunications, Faculty of Computer Science, Electronics and Telecommuniactionsm, al. A. Mickiewicza 30, 30-059 Krakow, Poland; AGH University of Science and Technology, Department of Telecommunications, Faculty of Computer Science, Electronics and Telecommuniactionsm, al. A. Mickiewicza 30, 30-059 Krakow, Poland; AGH University of Science and Technology, Department of Telecommunications, Faculty of Computer Science, Electronics and Telecommuniactionsm, al. A. Mickiewicza 30, 30-059 Krakow, Poland; AGH University of Science and Technology, Department of Telecommunications, Faculty of Computer Science, Electronics and Telecommuniactionsm, al. A. Mickiewicza 30, 30-059 Krakow, Poland; AGH University of Science and Technology, Department of Telecommunications, Faculty of Computer Science, Electronics and Telecommuniactionsm, al. A. Mickiewicza 30, 30-059 Krakow, Poland; AGH University of Science and Technology, Department of Telecommunications, Faculty of Computer Science, Electronics and Telecommuniactionsm, al. A. Mickiewicza 30, 30-059 Krakow, Poland; AGH University of Science and Technology, Department of Telecommunications, Faculty of Computer Science, Electronics and Telecommuniactionsm, al. A. Mickiewicza 30, 30-059 Krakow, Poland; AGH University of Science and Technology, Department of Telecommunications, Faculty of Computer Science, Electronics and Telecommuniactionsm, al. A. Mickiewicza 30, 30-059 Krakow, Poland","2017 19th International Conference on Transparent Optical Networks (ICTON)","","2017","","","1","4","In this paper we introduce the SDNRoute system which aims to support routing decisions in Software Defined Networks. Such a system is especially important in the context of the SDN as this concept makes it possible to perform routing in a dynamic and elastic manner. We focus on the SDNRoute architecture and research challenges that must be investigated to develop the system. Additionally, we provide preliminary approaches to solve the issues including optimization problem formulation. Recent state of the art is presented regarding not only academia works but also industry deployments. It is especially important as SDNRoute system is being designed for the purpose of commercial application.","2161-2064","978-1-5386-0859-3","10.1109/ICTON.2017.8024959","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8024959","SDN;routing support systems;traffic engineering;network optimization;traffic prediction","Optimization;Routing;Delays;Switches;Software defined networking;Monitoring;Telecommunication traffic","software defined networking;telecommunication network routing","integrated system;software defined networks;SDNRoute system;routing decisions;SDNRoute architecture;optimization problem formulation","","1","9","","","","","IEEE","IEEE Conferences"
"glossoVR - voice emission and public speech training system","M. Igras-Cybulska; A. Cybulski; D. Hekiert; M. Majdak; R. Salamon; P. Słomka; A. Szumiec; K. Błaszczyńska; B. Błaszczyński; S. Kacprzak","AGH University of Science and Technology; AGH University of Science and Technology; SWPS University of Social Sciences and Humanities; Polish Academy of Sciences; AGH University of Science and Technology; AGH University of Science and Technology; AGH University of Science and Technology; The Stanisław Wyspiański Teatr Ślaski in Katowice; Krzysztof Kieślowski Film School at the University of Silesia,National Academy of Theatre Arts in Kraków The Faculty of the Dance Theatre in Bytom; AGH University of Science and Technology","2020 IEEE Conference on Virtual Reality and 3D User Interfaces Abstracts and Workshops (VRW)","","2020","","","833","834","A new VR application for voice and speech training has emerged from a problem observable in everyday life: an anxiety of public speaking. In the design process, we incorporated both domain knowledge of experts as well as research with end-users in order to explore the needs and the context of the problem. Functionalities of the prototype are the effect of user-centered process in order to suit best their needs and the way they interact with VR environment.","","978-1-7281-6532-5","10.1109/VRW50115.2020.00267","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9090507","user-centered design;visualization;speech analytics;voice emission;Virtual Reality;exposure therapy;glossophopia;speech training","Public speaking;Training;Medical treatment;Virtual reality;Prototypes;Headphones;Conferences","","","","","5","","","","","IEEE","IEEE Conferences"
"Switching strategies of a resonant switched-capacitor voltage multiplier","A. Penczek; A. Mondzik; Z. Waradzyn; R. Stala; A. Skała; S. Piróg","AGH University of Science and Technology, al. A. Mickiewicza 30, Krakow, Poland; AGH University of Science and Technology, al. A. Mickiewicza 30, Krakow, Poland; AGH University of Science and Technology, al. A. Mickiewicza 30, Krakow, Poland; AGH University of Science and Technology, al. A. Mickiewicza 30, Krakow, Poland; AGH University of Science and Technology, al. A. Mickiewicza 30, Krakow, Poland; AGH University of Science and Technology, al. A. Mickiewicza 30, Krakow, Poland","2017 19th European Conference on Power Electronics and Applications (EPE'17 ECCE Europe)","","2017","","","P.1","P.10","This paper presents research results of switching strategies of a power electronic resonant zero current switching (ZCS) DC-DC switched-capacitor voltage multiplier (SCVM). The SCVM can operate under the various switching methods, which determine the rated power of the converter, its efficiency, capacitors selection, as well as the input and output current waveforms. The switching strategies are demonstrated and compared by mathematical analysis and simulation results. The important findings are verified experimentally in a three-cell SCVM DC-DC resonant boost converter.","","978-90-75815-27-6","10.23919/EPE17ECCEEurope.2017.8099151","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8099151","DC power supply;ZCS converters;Resonant converter;Converter control;Soft switching","Switches;Capacitors;Power electronics;Europe;Zero current switching","DC-DC power convertors;resonant power convertors;switched capacitor networks;switching convertors;voltage multipliers;zero current switching","resonant switched-capacitor voltage multiplier;switching strategies;three-cell SCVM DC-DC resonant boost converter;capacitor selection;power electronic resonant zero current switching DC-DC switched-capacitor voltage multiplier;ZCS","","1","20","","","","","IEEE","IEEE Conferences"
"On the Role of Trust in Child-Robot Interaction*","P. Zguda; A. Kołota; M. Jarosz; F. Sondej; T. Izui; M. Dziok; A. Belowska; W. Jędras; G. Venture; B. Śnieżynski; B. Indurkhya","Jagiellonian University,Kraków,Poland; Jagiellonian University,Kraków,Poland; AGH University of Science and Technology,Kraków,Poland; AGH University of Science and Technology,Kraków,Poland; Tokyo University of Agriculture and Technology,Tokyo,Japan; AGH University of Science and Technology,Kraków,Poland; AGH University of Science and Technology,Kraków,Poland; AGH University of Science and Technology,Kraków,Poland; Tokyo University of Agriculture and Technology,Tokyo,Japan; AGH University of Science and Technology,Kraków,Poland; Jagiellonian University,Kraków,Poland","2019 28th IEEE International Conference on Robot and Human Interactive Communication (RO-MAN)","","2019","","","1","6","In child-robot interaction, the element of trust towards the robot is critical. This is particularly important the first time the child meets the robot, as the trust gained during this interaction can play a decisive role in future interactions. We present an in-the-wild study where Polish kindergartners interacted with a Pepper robot. The videos of this study were analyzed for the issues of trust, anthropomorphization, and reaction to malfunction, with the assumption that the last two factors influence the children's trust towards Pepper. Our results reveal children's interest in the robot performing tasks specific for humans, highlight the importance of the conversation scenario and the need for an extended library of answers provided by the robot about its abilities or origin and show how children tend to provoke the robot.","1944-9437","978-1-7281-2622-7","10.1109/RO-MAN46459.2019.8956400","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8956400","","","human factors;human-robot interaction","child-robot interaction;Pepper robot","","","23","","","","","IEEE","IEEE Conferences"
"Communication system for Intelligent Road Signs network","J. Gozdecki; K. Łoziak; A. Dziech; W. Chmiel; J. Kwiecień; J. Derkacz; P. Kadłuczka","Dept. of Telecomunications, AGH University of Science and Technology, Kraków, Poland; Dept. of Telecomunications, AGH University of Science and Technology, Kraków, Poland; Dept. of Telecomunications, AGH University of Science and Technology, Kraków, Poland; Dept. of Automatic Control and Robotics g, AGH University of Science and Technology, Kraków, Poland; Dept. of Automatic Control and Robotics, AGH University of Science and Technology, Kraków, Poland; Dept. of Telecomunications, AGH University of Science and Technology, Kraków, Poland; Dept. of Automatic Control and Robotics, AGH University of Science and Technology, Kraków, Poland","2019 6th International Conference on Models and Technologies for Intelligent Transportation Systems (MT-ITS)","","2019","","","1","6","The way of providing the end user with an accurate data regarding the current road conditions is one of the very important components in the area of Intelligent Transportation Systems (ITS). In such cases one of the possibilities is to display the adaptive content on a dedicated road sign. The most important issue in the process of building the trust between the road signalling infrastructure and the end user is the information significance and its value. The ongoing NCBiR project - InZnak - aims to introduce a new type of the road signalling subsystem which relies on intelligent road signs equipped with variety of sensors and adaptive led displays. Sensors feed the autonomous algorithms with data necessary to take decisions on how to react to current road conditions. The proposed system typically consists of a few road signs communicating with each other and exchanging measured data: weather conditions, road surface condition, traffic volume, avg. vehicles speed, detected road events, etc. On the basis of the information exchanged between road signs, each of them runs the autonomous algorithm to process that data and computes the current status of road section driving conditions. The InZnak project focuses on the problem of the traffic control using intelligent autonomous road signs. The process of the speed limit determination is often complicated and in many cases it is defined by numerous legal standards. In general, speed determination should take into account not only the technical aspect, but also social and legal aspects, which makes this process especially difficult. This paper presents the InZnak communication system architecture with the deployed prototype and its current status of integration.","","978-1-5386-9484-8","10.1109/MTITS.2019.8883382","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8883382","intelligent road sign;traffic moderation;intelligent transport system;ITS communications","Roads;Wireless communication;Intelligent sensors;Wireless sensor networks;Standards;Protocols","intelligent transportation systems;law;LED displays;road traffic;road vehicles","road signalling subsystem;autonomous algorithm;weather conditions;road surface condition;intelligent autonomous road signs;InZnak communication system architecture;intelligent transportation systems;road signalling infrastructure;ongoing NCBiR project;sensors;led displays;legal standards;social aspects","","","11","","","","","IEEE","IEEE Conferences"
"Stability diagram of perpendicular magnetic tunnel junction with a composite free layer","W. Skowronski; M. Frankowski; S. Zietek; J. Checinski; P. Rzeszut; J. Wrona; M. Czapkiewicz","Department of Electronics, AGH University of Science and Technology, Kraków, Poland; Department of Electronics, AGH University of Science and Technology, Kraków, Poland; Department of Electronics, AGH University of Science and Technology, Kraków, Poland; Department of Electronics, AGH University of Science and Technology, Kraków, Poland; Department of Electronics, AGH University of Science and Technology, Kraków, Poland; Singulus Technologies AG, Kahl am Main, Germany; Department of Electronics, AGH University of Science and Technology, Kraków, Poland","2017 IEEE International Magnetics Conference (INTERMAG)","","2017","","","1","1","Magnetic tunnel junctions (MTJs) have become a basic building block for various types of spintronics devices, such as magnetic random access memory (MRAM) cells, magnetic field sensors and microwave generators or detectors. There are a few ways to realize perpendicularly magnetized MTJ, which are characterized by greater thermal stability than their in-plane magnetized counterparts. Taking advantage of the interface anisotropy yields the best results, especially in terms of high tunnel magnetoresistance (TMR) measured typically in MTJs with CoFeB/MgO/CoFeB trilayer. Recent studies on perpendicular MTJ resulted in the TMR ratio exceeding 200 % [1] thanks to careful optimization of both the free layer (FL) and reference layer (RL) structure. We report on the perpendicular MTJ with a composite CoFeB/W/CoFeB FL [2,3] which is characterized by high perpendicular magnetic anisotropy and spin polarization resulting in up to 180 % TMR measured at room temperature and above 280 % TMR at low temperature. The multilayers with the following structure were deposited: buffer / SyF / spacer / CoFeB(1) / MgO(1.2) / CoFeB(tFL) / W(0.3) / CoFeB(0.5) / MgO(1) / capping (thicknesses in nm), with tFL ranging from 1 up to 1.6 nm and RA product equal to 10 Ωμm2. For the 1.5 nm thick CoFeB sublayer, the TMR of 180 % at room temperature and 280 % at 20 K was measured. The stability diagram was modeled based on Ref. [4]. Additionally, it was assumed that in-plane all (out-of-plane al) torque component scales linearly (quadratically) with the applied current [5]. To account for additional physical effects that contribute to the stability diagram, namely VCMA and temperature effect, the coercive field HC is scaled by the factor: HC = HK(1-VKV-(T/ kT)1/2) where V is the applied voltage, HK is the anisotropy field, VK is the VCMA coefficient and Ta is the ambient temperature. kT represents the dependence of the temperature on the coercive field. The damping factor was measured independently by the broadband FMR technique. An increase of the TMR from 140% for tFL = 1.1 nm up to TMR = 180% for tFL = 1.5 nm is explained by an increase of the spin polarization for thicker ferromagnetic layer. A rapid reduction of the TMR for tFL = 1.6 nm is caused by the transition of the FL magnetization vector to the sample plane. Electronic transport properties were measured in perpendicular magnetic field (see Fig. 1). It has been already established that apart from the conventional STT effect in MTJs with a relatively thin MgO barrier, the switching process can be also affected by the VCMA effect in a thin FL. To investigate the switching process in more detail, we repeated the R(V) loops measurement, with different constant magnetic field. The stability diagram was obtained in this way both at low (T = 20 K) and room temperature (T = 300 K) for the MTJ with tFL = 1.1 nm. The 300 K result is presented in Fig. 2. The diagram was modelled using STT, VCMA and thermal effects taken into account. In addition, for the precise derivation of the STT coefficients, the magnetization damping was calculated based on an independent FMR measurement. Fitting the experimental stability diagram to the model yielded the temperature coefficients of kT = 0.0014 T/K. This parameter was kept constant for MTJs with different tFL. Remaining parameters of the stability diagrams for each tFL were modeled independently. For tFL = 1.1 nm, the following STT components were obtained: all = 0.024 T/V and al = 0.02 T/V, however, we note that the modeled stability diagram is insensitive to al, which agrees with another macrospin approach based on Landau-Lifshitz-Gilbert equation presented in Ref. [6]. In-plane torque τll was thereafter recalculated and as the result we obtained τll = 4.5*10-19 Nm/V, which agrees well with literature values of STT in the case of an in-plane MTJ [5,7]. Regarding VCMA, the best results for MTJ with tFL = 1.1 nm were obtained for VK = 0.14 1/V. Based on the following relation: VK = κ/μ0HCMStFLtB, where tB = 1.2 nm is the tunnel barrier thickness, VCMA coeficient of κ = 77 fJ/ Vm was calculated, which fits well commonly measured values for CoFeB/ MgO devices [3,8]. The project is supported by Polish National Center for Research and Development grant No. LIDER/467/L-6/14/NCBR/2015 and grant Preludium UMO-2015/17/N/ST3/02276 from National Science Center, Poland.","2150-4601","978-1-5386-1086-2","10.1109/INTMAG.2017.8007568","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8007568","","Magnetic tunneling;Temperature measurement;Magnetic field measurement;Thermal stability;Tunneling magnetoresistance;Stability analysis;Perpendicular magnetic anisotropy","cobalt compounds;coercive force;ferromagnetic resonance;iron compounds;magnesium compounds;magnetic field measurement;magnetic sensors;magnetic tunnelling;magnetoelectronics;MRAM devices;optimisation;perpendicular magnetic anisotropy;thermal stability;tungsten","stability diagram;perpendicular magnetic tunnel junction;composite free layer;spintronics devices;magnetic random access memory;MRAM cells;magnetic field sensors;microwave generators;microwave detectors;thermal stability;interface anisotropy;tunnel magnetoresistance;optimization;perpendicular magnetic anisotropy;spin polarization;temperature effect;coercive field;VCMA coeffcient;damping factor;broadband FMR technique;ferromagnetic layer;switching process;STT model;magnetization damping;Landau-Lifshitz-Gilbert equation;tunnel barrier thickness;temperature 293 K to 298 K;temperature 20 K;size 1.5 nm;temperature 300 K;size 1.6 nm;CoFeB-MgO-CoFeB-W-CoFeB","","","8","","","","","IEEE","IEEE Conferences"
"Comparison of cost, material and time usage in FDM and SLS 3D printing methods","R. Kudelski; J. Cieslik; M. Kulpa; P. Dudek; K. Zagorski; R. Rumin","AGH University of Science and Technology, Faculty of Mechanical Engineering and Robotics, al. A. Mickiewicza 30, 30-059, Krakow, Poland; AGH University of Science and Technology, Faculty of Mechanical Engineering and Robotics, al. A. Mickiewicza 30, 30-059, Krakow, Poland; AGH University of Science and Technology, Faculty of Mechanical Engineering and Robotics, al. A. Mickiewicza 30, 30-059, Krakow, Poland; AGH University of Science and Technology, Faculty of Mechanical Engineering and Robotics, al. A. Mickiewicza 30, 30-059, Krakow, Poland; AGH University of Science and Technology, Faculty of Mechanical Engineering and Robotics, al. A. Mickiewicza 30, 30-059, Krakow, Poland; AGH University of Science and Technology, Faculty of Management, al. A. Mickiewicza 30, 30-059 Krakow, Poland","2017 XIIIth International Conference on Perspective Technologies and Methods in MEMS Design (MEMSTECH)","","2017","","","12","14","Additive manufacturing (AM) is the process of joining materials to make objects from Computer Aided Design (CAD) model data, usually layer upon layer, as opposed to using subtractive manufacturing methods. The use of rapid prototyping technologies has increased significantly in recent years. This paper represents an attempt to answer the questions of when 3D printing can be used efficiently and of choosing the appropriate technology on the basis of batch size, element size, complexity, and time requirements.","","978-1-5386-4001-2","10.1109/MEMSTECH.2017.7937521","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7937521","Additive Manufacturing;Fused Deposition Modeling;Selective Laser Sintering;cost;time","Frequency division multiplexing;Three-dimensional printing;Printers;Laser modes;Laser sintering","joining materials;rapid prototyping (industrial);three-dimensional printing","time usage;FDM;SLS 3D printing method;additive manufacturing;AM;computer aided design model data;CAD model data;layer upon layer;subtractive manufacturing method;rapid prototyping technology;batch size;element size;joining materials process","","","4","","","","","IEEE","IEEE Conferences"
"Chemiluminescence Detection Method Using SiPM with Dedicated Readout Circuit","M. Baszczyk; P. Dorosz; W. Kucewicz; L. Mik; W. Reczynski; M. Sapor","Faculty of Computer Science, Electronics and Telecommunications, AGH University of Science and Technology, Krakow, Poland; Faculty of Computer Science, Electronics and Telecommunications, AGH University of Science and Technology, Krakow, Poland; Faculty of Computer Science, Electronics and Telecommunications, AGH University of Science and Technology, Krakow, Poland; Faculty of Computer Science, Electronics and Telecommunications, AGH University of Science and Technology, Krakow, Poland; Faculty of Computer Science, Electronics and Telecommunications, AGH University of Science and Technology, Krakow, Poland; Faculty of Computer Science, Electronics and Telecommunications, AGH University of Science and Technology, Krakow, Poland","2017 IEEE Nuclear Science Symposium and Medical Imaging Conference (NSS/MIC)","","2017","","","1","3","Paper presents the detection method of the chemiluminescence phenomenon using SiPM. Chemiluminescence phenomena is kind of luminescence which appears as a results of a chemical reaction and is used in many applications in a medicine, chemistry, biology, biotechnology, environmental protection. The readout electronics requires to measure a single photons and should be fast to distinguish overlapping signals generated by the chemiluminescence light. The front-endelectronics consists of preamplifier and fast shaper. It produces the pulses which peaking time for the single photon is equal to 3.6 ns and the FWHM is 3.8 ns. The performance of the detection method was verify with measurements of the chemiluminescence of luminol (it is used i.e.in the criminology to detect the traces of blood). The system is optimal to measure chemiluminescence. It generates low number of overlapping pulses and is accurate. The relationship between the light intensity and concentration of luminol is linear and have high r-squared parameter equal to 0.9995 and low 95% prediction intervals.","2577-0829","978-1-5386-2282-7","10.1109/NSSMIC.2017.8532982","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8532982","","Photonics;Preamplifiers;Microfluidics;Conferences;Chemicals;Biology","biomedical measurement;blood;chemiluminescence;nuclear electronics;photomultipliers;readout electronics","chemiluminescence detection method;SiPM;chemiluminescence phenomenon;chemical reaction;environmental protection;readout electronics;single photon;chemiluminescence light;light intensity;luminol concentration;readout circuit;blood detection","","","5","","","","","IEEE","IEEE Conferences"
